Ref,Val,Package,PosX,PosY,Rot,Side
"J2","Micro_SD_Card","microSD_HC_Hirose_DM3D-SF",240.760000,-82.820000,90.000000,top
"J3","USB_A","USB_A_TE_292303-7_Horizontal",165.700000,-92.100000,-90.000000,top
"J4","Conn_02x08_Odd_Even","PinHeader_2x08_P2.54mm_Vertical",176.525000,-64.775000,90.000000,top
"J5","UART","PinHeader_1x03_P2.54mm_Vertical",246.170000,-93.570000,0.000000,top
"J6","Conn_02x07_Odd_Even","PinHeader_2x07_P2.54mm_Vertical",189.025000,-53.825000,-90.000000,top
"J7","Conn_02x07_Odd_Even","PinHeader_2x07_P2.54mm_Vertical",208.825000,-53.825000,-90.000000,top
"J8","DC_IN","BarrelJack_Wuerth_6941xx301002",192.740000,-93.900000,0.000000,top
"J9","Conn_01x02_MountingPin","PinHeader_1x02_P2.54mm_Vertical",201.025000,-60.475000,90.000000,top
"J10","AudioJack4_Ground","Jack_3.5mm_PJ320D_Horizontal",205.030000,-101.720000,90.000000,top
"J11","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",175.890000,-87.910000,0.000000,top
"J12","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",200.010000,-90.590000,90.000000,top
"J14","Conn_01x02_MountingPin","PinHeader_1x02_P2.54mm_Vertical",175.725000,-81.465000,180.000000,top
"J15","Conn_01x03_MountingPin","PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left",175.400000,-72.625000,0.000000,top
"J16","Conn_01x03_MountingPin","PinHeader_1x03_P2.54mm_Vertical",212.570000,-96.450000,90.000000,top
"R1","0R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",170.050000,-102.710000,90.000000,top
"R2","0R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",218.600000,-69.800000,90.000000,top
"R3","0R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",215.000000,-69.800000,90.000000,top
"R4","5k1","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",178.530000,-96.350000,-90.000000,top
"R5","5k1","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",186.170000,-96.160000,90.000000,top
