finger,carrier_net,t31_pin,t31_pin_name_or_note
152,GND,,GND
153,GPIO0,80,GPIO_PB31
154,GPIO1,,not present on T31ZX
155,GPIO2,,not present on T31ZX
156,GPIO3,,not present on T31ZX
157,GPIO4,,not present on T31ZX
158,GPIO5,,not present on T31ZX
159,GPIO6,,not present on T31ZX
160,GPIO7,,not present on T31ZX
161,GPIO8,,not present on T31ZX
162,GPIO9,,not present on T31ZX
163,GPIO10,,not present on T31ZX
164,GPIO11,,not present on T31ZX
165,GPIO12,,not present on T31ZX
166,GPIO13,,not present on T31ZX
167,GPIO14,,not present on T31ZX
168,GPIO15,,not present on T31ZX
169,GND,,GND
170,GND,,GND
171,GND,,GND
172,GND,,GND
173,SPARE_P173,7,"PPRST_ (PPRST_ (warm reset, no predefined carrier net))"
174,SPARE_P174,8,"EFUSE_AVD (EFUSE_AVD (per explicit user direction -- broken out, not grounded))"
175,SPARE_P175,11,"SA2_PA18 (PA18 (free pin, no predefined net))"
176,SPARE_P176,17,"SA0_DVP_PCLK_PWM0_PA14 (PWM0 alt-location, unneeded (PWM0 already at pin1))"
177,SPARE_P177,22,SD1_DVP_D7_UART1_RXD_PA07 (native UART1_RXD (J1 UART1_RX goes to BMC instead))
178,SPARE_P178,23,SD0_DVP6_UART1_TXD_PA06 (native UART1_TXD (J1 UART1_TX goes to BMC instead))
179,SPARE_P179,67,BOOT_SEL0_PC00 (T31's own BOOT_SEL0 strap (distinct from BMC's BOOTSEL))
180,SPARE_P180,73,UART1_RXD_TMS_PB24 (native UART1_RXD alt-location / TMS (JTAG))
181,SPARE_P181,74,UART1_TXD_TCK_PB23 (native UART1_TXD alt-location / TCK (JTAG))
182,SPARE_P182,,unused on this module
183,SPARE_P183,,unused on this module
184,SPARE_P184,,unused on this module
185,SPARE_P185,,unused on this module
186,SPARE_P186,,unused on this module
187,SPARE_P187,,unused on this module
188,SPARE_P188,,unused on this module
189,SPARE_P189,,unused on this module
190,SPARE_P190,,unused on this module
191,SPARE_P191,,unused on this module
192,SPARE_P192,,unused on this module
193,SPARE_P193,,unused on this module
194,SPARE_P194,,unused on this module
195,SPARE_P195,,unused on this module
196,SPARE_P196,,unused on this module
197,SPARE_P197,,unused on this module
198,SPARE_P198,,unused on this module
199,SPARE_P199,,unused on this module
200,SPARE_P200,,unused on this module
201,SPARE_P201,,unused on this module
202,SPARE_P202,,unused on this module
203,SPARE_P203,,unused on this module
204,SPARE_P204,,unused on this module
205,SPARE_P205,,unused on this module
206,SPARE_P206,,unused on this module
207,SPARE_P207,,unused on this module
208,SPARE_P208,,unused on this module
209,SPARE_P209,,unused on this module
210,SPARE_P210,,unused on this module
211,SPARE_P211,,unused on this module
212,SPARE_P212,,unused on this module
213,SPARE_P213,,unused on this module
214,SPARE_P214,,unused on this module
215,SPARE_P215,,unused on this module
216,SPARE_P216,,unused on this module
217,SPARE_P217,,unused on this module
218,SPARE_P218,,unused on this module
219,SPARE_P219,,unused on this module
220,SPARE_P220,,unused on this module
221,SPARE_P221,,unused on this module
222,SPARE_P222,,unused on this module
223,SPARE_P223,,unused on this module
224,SPARE_P224,,unused on this module
225,SPARE_P225,,unused on this module
226,SPARE_P226,,unused on this module
227,SPARE_P227,,unused on this module
228,SPARE_P228,,unused on this module
229,SPARE_P229,,unused on this module
230,SPARE_P230,,unused on this module
231,SPARE_P231,,unused on this module
232,SPARE_P232,,unused on this module
233,SPARE_P233,,unused on this module
234,SPARE_P234,,unused on this module
235,SPARE_P235,,unused on this module
236,SPARE_P236,,unused on this module
237,SPARE_P237,,unused on this module
238,SPARE_P238,,unused on this module
239,SPARE_P239,,unused on this module
240,SPARE_P240,,unused on this module
241,SPARE_P241,,unused on this module
242,SPARE_P242,,unused on this module
243,SPARE_P243,,unused on this module
244,SPARE_P244,,unused on this module
245,SPARE_P245,,unused on this module
246,SPARE_P246,,unused on this module
247,SPARE_P247,,unused on this module
248,SPARE_P248,,unused on this module
249,SPARE_P249,,unused on this module
250,SPARE_P250,,unused on this module
251,SPARE_P251,,unused on this module
252,SPARE_P252,,unused on this module
253,SPARE_P253,,unused on this module
254,SPARE_P254,,unused on this module
255,SPARE_P255,,unused on this module
256,SPARE_P256,,unused on this module
257,SPARE_P257,,unused on this module
258,SPARE_P258,,unused on this module
259,SPARE_P259,,unused on this module
260,SPARE_P260,,unused on this module
261,SPARE_P261,,unused on this module
262,SPARE_P262,,unused on this module
263,SPARE_P263,,unused on this module
264,SPARE_P264,,unused on this module
265,SPARE_P265,,unused on this module
266,SPARE_P266,,unused on this module
267,SPARE_P267,,unused on this module
268,SPARE_P268,,unused on this module
269,SPARE_P269,,unused on this module
270,SPARE_P270,,unused on this module
271,SPARE_P271,,unused on this module
272,SPARE_P272,,unused on this module
273,SPARE_P273,,unused on this module
274,SPARE_P274,,unused on this module
275,SPARE_P275,,unused on this module
276,SPARE_P276,,unused on this module
277,SPARE_P277,,unused on this module
278,SPARE_P278,,unused on this module
279,SPARE_P279,,unused on this module
280,SPARE_P280,,unused on this module
281,SPARE_P281,,unused on this module
282,SPARE_P282,,unused on this module
283,MSC1_CLK,15,CS2_DVP_HSYNC_SMB1_SDA_MSC1_CLK_PA16
284,MSC1_CMD,14,RD_DVP_VSYNC_SMB1_SCK_MSC1_CMD_PA17
285,MSC1_D0,,no T31 pin available (lost to a higher-priority function)
286,MSC1_D1,,no T31 pin available (lost to a higher-priority function)
287,MSC1_D2,,no T31 pin available (lost to a higher-priority function)
288,MSC1_D3_CD,,no T31 pin available (lost to a higher-priority function)
